country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
Spain,"With damp earth and crusty leather aromas, this is a heavy wine with baked fruit, a syrupy mouthfeel and flavors of mocha, carob, leafy berry and earth. On the finish, it's full bodied and soft, with ripe black-fruit flavors that register as thick and a touch raisiny. Drink now.",RSV 1601 El Duque de Lerma,88,75.0,Northern Spain,Ribera del Duero,,Michael Schachner,@wineschach,Real Sitio de Ventosilla 2004 RSV 1601 El Duque de Lerma  (Ribera del Duero),Tempranillo,Real Sitio de Ventosilla
US,"A really nice sparkling wine from Gloria Ferrer. Mostly Pinot Noir, with some Chardonnay, it has a dark copper color and is full-bodied and rich in raspberry and strawberry flavors. Feels crisp and satisfying. Best over the next few years.",Brut Rosé,91,42.0,California,Carneros,Napa-Sonoma,,,Gloria Ferrer 2007 Brut Rosé Sparkling (Carneros),Sparkling Blend,Gloria Ferrer
US,"Mostly Cabernet, with a bit of Merlot and Malbec in the blend, the new Electrum shows flavors of mixed berry, plum and a hint of prune. The acids are tart, giving the wine good presence, and the balance and length are spot on.",Electrum,90,65.0,Washington,Red Mountain,Columbia Valley,Paul Gregutt,@paulgwine ,Obelisco Estate 2009 Electrum Cabernet Sauvignon (Red Mountain),Cabernet Sauvignon,Obelisco Estate
Italy,"Delicate embroidered with sage, eucalyptus, cola, wild berry, white cherry, rum cake and savory spice, this wine shows the kind of pretty berry aromas that are brighter than they are intense. In fact, the wine shows elegant restraint with the potential for a beautiful evolution in the bottle.",Vigna del Fiore,93,90.0,Tuscany,Brunello di Montalcino,,,,Fattoria dei Barbi 2007 Vigna del Fiore  (Brunello di Montalcino),Sangiovese Grosso,Fattoria dei Barbi
US,"A massive wine that absolutely demands time in the cellar, Lancaster's '05 is nearly all Cabernet, with tiny amounts of the other four Bordeaux varieties. It stuns with the power and authenticity of its hilly Cabernet origins, offering vast black currant, orange rind, anise and smoky oak flavors that implode on the palate. But the tannins are hard. It should blossom and fully come into its own after 2010.",,95,70.0,California,Alexander Valley,Sonoma,,,Lancaster 2005 Cabernet Sauvignon (Alexander Valley),Cabernet Sauvignon,Lancaster
US,"This is the inaugural release of this wine, which is composed of fruit from Pepper Bridge and Seven Hills vineyards. It's aromatically generous, with appealing notes of sage, dried herb, cassis, dark chocolate, spice, pencil lead and dark fruit. The palate delivers a mouthful of dark-fruit flavors and tannins that are combined to a fine sheen. It shows a beautiful sense of balance capped off by a persistent finish. It drinks well now but is made with the future in mind.",,92,75.0,Washington,Walla Walla Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Passing Time 2014 Cabernet Sauvignon (Walla Walla Valley (WA)),Cabernet Sauvignon,Passing Time
South Africa,"There's a layered complexity to this interesting blend of 47% Viognier, 32% Chenin Blanc, 18% Roussanne and 3% Grenache Blanc, with a beautiful interplay between the fruity notes of citrus peel, tart melon, green apple and plum and the earthy tones of fynbos, almond skin and sweet baking spice. The plush texture is countered by ample acidity, leading into a clean finish that's laced with toasty accents. Drink now–2018.",Nurok,89,27.0,Paarl,,,Lauren Buzzeo,@laurbuzz,Fairview 2013 Nurok White (Paarl),White Blend,Fairview
France,"This rich, full-bodied wine has ripe green and white fruits along with a touch of minerality. It is a sophisticated wine that adds acidity to its complex array of flavors. The wine is ready to drink.",Indiscreet,88,15.0,France Other,Vin de France,,Roger Voss,@vossroger,Confidence 2015 Indiscreet Chardonnay (Vin de France),Chardonnay,Confidence
Turkey,"Light cherry red to the eye, this wine made of 100% Karalahna yields little on the nose, offering a soft aroma of cranberry. Flavors of cherry confiture, black currant, cranberry, spearmint and black pepper are set amidst ever-present tannins that linger on the front of the tongue.",,87,15.0,Turkey,,,Mike DeSimone,@worldwineguys,Çamlibağ 2012 Karalahna (Turkey),Karalahna,Çamlibağ
Chile,"Simple and neutral, with sweetness to the nose. It's soft and flabby in the mouth, with candied vanilla and melon flavors. Sweet and low in intensity, and already it's dull despite being a new release.",Selection,82,6.0,Curicó Valley,,,Michael Schachner,@wineschach,Quasar 2010 Selection Sauvignon Blanc (Curicó Valley),Sauvignon Blanc,Quasar
